fid,OBJECTID,SOURCE,CONFIANCE,SUPERFICIE,CLASSE,TYPE,PHYSIONOMI,SYS_TROPHI,PARTICULAR,Enregistre,Latitude,Longitude,Type_2,Milieu,surface
298,25366,OCCUP_SOL_BTSL,Excellent,0.957914994958057,Marécage,Marécage,,,,L-lisiere,45.074990000000000,-73.073660000000004,lisiere,mixte,145189.945560296
298,25366,OCCUP_SOL_BTSL,Excellent,0.957914994958057,Marécage,Marécage,,,,X-foret_X-lisiere,45.082830000000001,-73.082080000000005,foret,mixte,145377.071730144
298,25366,OCCUP_SOL_BTSL,Excellent,0.957914994958057,Marécage,Marécage,,,,Z-lisiere,45.090249999999997,-73.084270000000004,lisiere,mixte,23850.1321916468
302,1803,OCCUP_SOL_BTSL,Excellent,0.232910101959809,Tourbière ouverte minérotrophe,Tourbière,ouverte,minérotrophe,,J-foret,45.085630000000002,-73.085369999999998,foret,mixte,65455.1634996152
302,1803,OCCUP_SOL_BTSL,Excellent,0.232910101959809,Tourbière ouverte minérotrophe,Tourbière,ouverte,minérotrophe,,J-lisiere,45.085830000000001,-73.080380000000005,lisiere,mixte,5482.86568792886
302,1803,OCCUP_SOL_BTSL,Excellent,0.232910101959809,Tourbière ouverte minérotrophe,Tourbière,ouverte,minérotrophe,,K-foret,45.079470000000001,-73.081540000000004,foret,mixte,82266.3448062442
302,1803,OCCUP_SOL_BTSL,Excellent,0.232910101959809,Tourbière ouverte minérotrophe,Tourbière,ouverte,minérotrophe,,K-lisiere,45.080539999999999,-73.077849999999998,lisiere,foret,27119.6382251541
302,1803,OCCUP_SOL_BTSL,Excellent,0.232910101959809,Tourbière ouverte minérotrophe,Tourbière,ouverte,minérotrophe,,X-foret_X-lisiere,45.082830000000001,-73.082080000000005,foret,mixte,137403.668499164
303,12311,OCCUP_SOL_BTSL,Excellent,0.010860836031098,Marais,Marais,,,,J-foret,45.085630000000002,-73.085369999999998,foret,mixte,17.6141844494268
303,12311,OCCUP_SOL_BTSL,Excellent,0.010860836031098,Marais,Marais,,,,Z-lisiere,45.090249999999997,-73.084270000000004,lisiere,mixte,10860.834844979
312,1746421,IEQM,Bon,0.022770218706716,Marécage arborescent,Marécage,arborescent,,,J-lisiere,45.085830000000001,-73.080380000000005,lisiere,mixte,627.299431809224
312,1746421,IEQM,Bon,0.022770218706716,Marécage arborescent,Marécage,arborescent,,,Z-lisiere,45.090249999999997,-73.084270000000004,lisiere,mixte,4429.35178724048
300,1798,OCCUP_SOL_BTSL,Excellent,0.340525095278103,Tourbière ouverte minérotrophe,Tourbière,ouverte,minérotrophe,,K-foret,45.079470000000001,-73.081540000000004,foret,mixte,58152.9662446649
300,1798,OCCUP_SOL_BTSL,Excellent,0.340525095278103,Tourbière ouverte minérotrophe,Tourbière,ouverte,minérotrophe,,K-lisiere,45.080539999999999,-73.077849999999998,lisiere,foret,4756.86891344748
300,1798,OCCUP_SOL_BTSL,Excellent,0.340525095278103,Tourbière ouverte minérotrophe,Tourbière,ouverte,minérotrophe,,L-foret_O-lisiere,45.073110000000000,-73.073589999999996,lisiere,mixte,30665.0227129436
300,1798,OCCUP_SOL_BTSL,Excellent,0.340525095278103,Tourbière ouverte minérotrophe,Tourbière,ouverte,minérotrophe,,L-lisiere,45.074990000000000,-73.073660000000004,lisiere,mixte,37396.6824230424
299,4635,OCCUP_SOL_BTSL,Excellent,1.589333019481972,Tourbière boisée indifférenciée,Tourbière,boisée,indifférenciée,,L-foret_O-lisiere,45.073110000000000,-73.073589999999996,lisiere,mixte,54695.8737545667
